iter	Passed	Remaining
0	231	231194
1	332	165831
2	403	134035
3	474	118216
4	538	10723455	604	100126	6	663	94187	7	718	89048	8	782	86119	9	842	83361010	904	81281111	977	80471212	1037	78761313	1090	76771414	1162	76341515	1211	74511616	1275	73731717	1337	72991818	1394	71991919	1464	71772020	1520	70892121	1597	71012222	1651	70152323	1714	69732424	1776	69272525	1831	68602626	1903	68592727	1958	67992828	2020	67662929	2111	68283030	2183	68253131	2232	67523232	2304	67513333	2360	67053434	2411	66493535	2469	66113636	2531	65893737	2591	65593838	2655	65443939	2710	650440	2773	64874
41	2835	64684
42	2900	64561
43	2964	64407
44	3011	63906
45	3075	63778
46	3143	63736
47	3195	63375
48	3249	63068
49	3318	63059
50	3389	63075
51	3477	63404
52	3528	63052
53	3590	62902
54	3646	62660
55	3698	62341
56	3755	62129
57	3834	62279
58	3902	62235
59	3950	61896
60	4013	61781
61	4055	61353
6262	4131	61456363	4183	61186464	4239	60986565	4309	60986666	4371	60876767	4434	60776868	4483	60496969	4539	60317070	4588	60037171	4653	59977272	4719	59937373	4776	59777474	4844	59747575	4915	59757676	4965	59527777	5037	59547878	5115	59647979	5182	59598080	5258	59658181	5308	59428282	5376	59408383	5424	59158484	5494	59148585	5550	58998686	5610	58878787	5707	59148888	5767	59038989	5835	59009090	5902	58959191	5961	58839292	6030	58819393	6080	58609494	6147	58569595	6227	58642
96	6282	58489
97	6349	58444
98	6394	58192
99	6469	58221
100	6536	58180
101	6588	58008
102	6649	57908
103	6702	57744
104	6768	57696
105	6821	57530
106	6884	57456
107	6965	57531
108	7018	57372
109	7073	57229
110	7122	57041
111	7197	57066
112	7261	56997
113	7322	56912
114	7382	56812
115	7446	56743
116	7508	56666
117	7569	56576
118	7624	56448
119	7690	56399
120	7744	56261
121	7806	56181
122	7906	56377
123	7967	56286
124	8034	56243
125	8110	56256
126	8177	56211
127	8227	56052
128	8275	55872
129	8334	55774
130	8392	55672
131	8454	55595
132	8525	55576
133	8587	55501
134	8636	55339
135	8696	55248
136	8746	55097
137	8823	55116
138	8886	55045
139	8942	54933
140	8999	54828
141	9071	54811
142	9122	54673
143	9177	545514144	9228	544114145	9269	542214146	9315	540514147	9410	541714148	9469	5408149	9518	53940
150	9567	53791
151	9613	53635
152	9668	53525
153	9730	53455
154	9793	53392
155	9860	53347
156	9915	53240
157	9962	53091
158	10015	52976
159	10065	52842
160	10136	52825
161	10182	52671
162	10231	52537
163	10302	52518
164	10347	52366
16165	10422	523616166	10488	5231167	10521	52107
168	10591	52078
169	10653	52015
170	10711	51929
171	10770	51848
172	10843	51836
173	10950	51984
174	11022	51965
175	11121	52070
176	11179	51983
177	11232	51873
178	11280	51740
179	11343	51674
180	11393	51555
181	11454	51480
182	11517	51418
183	11564	51287
184	11640	51282
185	11686	51142
186	11749	51080
187	11806	50993
188	11872	50944
189	11938	50895
190	12014	50888
191	12077	50827
192	12140	50764
193	12213	50743
194	12275	50677
195	12328	50572
196	12395	50523
197	12447	50418
198	12492	50285
199	12541	50167
200	12610	50128
201	12696	50159
202	12744	50036
203	12825	50045
204	12873	49922
205	12935	49858
206	13002	49810
207	13063	49741
208	13113	49632
209	13172	49552
210	13230	49472
211	13300	49437
212	13369	49396
213	13430	49330
214	13482	49226
215	13545	49166
216	13619	49144
217	13674	49052
218	13750	49035
219	13808	48956
220	13892	48969
221	13957	48913
222	14027	48874
223	14117	48907
224	14173	48819
225	14224	48714
226	14288	48657
227	14352	48597
228	14416	48536
229	14466	48431
230	14535	48387
231	14585	48284
232	14642	48201
233	14699	48119
234	14758	48043
235	14807	47935
236	14856	47829
237	14925	47785
238	14987	47722
239	15029	47593
240	15084	47505
241	15158	47479
242	15220	47415
243	15285	47361
244	15343	47283
245	15407	47226
246	15457	47124
247	15496	46989
248	15548	46896
249	15613	46840
250	15675	46775
251	15737	46712
252	15782	46598
253	15837	46513
254	15888	46420
255	15949	46354
256	16021	46318
257	16080	46246
258	16130	46150
259	16175	46036
260	16236	45971
261	16291	45889
262	16341	45792
263	16411	45754
264	16463	45663
265	16515	45571
266	16564	45475
267	16618	45392
268	16685	45341
269	16743	45270
270	16786	45271	27271	16867	272	27272	16951	273	27273	17023	451027274	17106	450927275	17179	450627276	17244	450027277	17295	449127278	17336	448027279	17404	447528280	17455	446628281	17499	282	28282	17569	283	283	17593	44284	284	17659	44304
285	17733	44272
286	17780	44172
287	17835	44288	288	17892	44019
289	17955	43960
290	18011	43883
291	18058	43292	292	18113	43293	293	18171	43294	294	18237	43295	295	18295	43296	296	18344	43297	297	18404	43298	298	18474	43299	299	18526	43300	300	18579	43301	301	18646	43302	302	18706	43303	18842	43138
304	18907	43085
305	19013	43121
306	19066	43039
307	19119	42956
308	19173	42877
309	19230	42804
310	19281	42715
311	19348	42666
312	19408	42598
313	19452	42497
314	19511	42429
315	315	19536	42316	316	19598	42317	317	19667	42318	318	19738	42319	319	19795	42320	320	19893	42080
321	19953	42014
322	20019	41323	323	20081	41324	324	20140	41325	325	20207	41326	326	20263	41327	327	20320	41328	328	20369	41329	329	20421	41330	330	20475	41331	331	20539	41332	33332	20633	333	33333	20689	334	334	20720	41335	335	20791	41336	336	20856	41337	337	20916	40338	338	20977	40339	339	21043	40340	340	21100	40341	341	21166	40342	342	21230	40665
343	21297	40613
344	21360	40554
345	21426	40499
346	21493	40446
347	21542	40361
348	21602	40349	349	21664	40350	350	21716	40153
351	21763	40352	352	21817	39353	353	21880	39928
354	21936	39855
355	21978	39356	356	22025	39357	35357	22118	358	35358	22175	359	35359	22244	360	36360	22296	361	36361	22344	362	362	22380	39363	363	22432	39364	364	22509	39365	365	22556	39366	366	22623	39367	367	22697	38368	368	22736	38369	369	22804	38370	370	22869	38371	37371	22958	372	372	22972	38373	37373	23077	374	374	23121	38375	375	23214	38376	376	23277	38377	377	23337	38378	378	23409	38356
379	23467	38380	380	23543	38381	381	23614	38203
382	23665	38383	383	23710	38384	384	23779	37385	385	23835	37386	38386	23927	387	38387	23994	388	38388	24056	389	38389	24104	390	39390	24163	391	39391	24226	392	39392	24282	393	393	24318	37394	394	24384	37395	395	24449	37396	396	24503	37397	397	24562	37398	398	24610	37399	399	24668	37400	400	24735	36401	401	24803	36897
402	24865	36835
403	24939	36791
404	25004	36734
405	25072	36681
406	25134	36620
407	25192	36553
408	25283	36534
409	25369	36507
410	25433	36449
411	25497	36389
412	25552	36317
413	25621	36266
414	25682	36203
41415	25775	361841416	25842	3613417	25887	36044
418	25955	35990
419	26038	35957
420	26116	35918
421	26224	35919
422	26290	35861
423	26353	35801
424	26431	35760
425	26498	35705
426	26562	35645
427	26615	35570
428	26682	35514
429	26739	35444
430	26828	35418
431	26900	35369
432	26960	35303
433	27025	35245
434	27083	35177
435	27154	35126
436	27227	35078
437	27274	34996
438	27321	34914
439	27372	34837
440	27433	34774
441	27506	34725
442	27560	34652
443	27627	34596
444	27694	34540
445	27746	34464
446	27793	34384
447	27860	34328
448	27920	34263
449	27995	34216
450	28052	34147
451	28106	34075
452	28191	34041
453	28247	33971
454	28311	33911
455	28367	33842
456	28425	33774
457	28487	33711
458	28549	33649
459	28606	33581
460	28677	33529
461	28745	33474
462	28810	33415
463	28878	33359
464	28930	33286
465	29024	33259
466	29113	33228
467	29157	33145
468	29213	33075
469	29290	33030
470	29370	32987
471	29429	32920
472	29473	32838
473	29536	32777
474	29618	32736
475	29672	32664
476	29745	32613
477	29788	32530
478	29846	32463
479	29898	32390
480	29957	32324
481	30029	32272
482	30089	32207
483	30151	32144
484	30204	32072
485	30264	32008
486	30337	31956
487	30397	31892
488	30454	31824
489	30521	31767
490	30601	31723
491	30701	31700
492	30757	31630
493	30828	31576
494	30888	31512
495	30945	31444
496	31017	31391
